,學院,semester,系學會社團,學術型社團,康樂性社團,聯誼性社團,服務性社團
0,地球科學學院,1021,78.01196428571428,80.501875,77.58272727272727,78.29882352941176,79.42571428571429
1,地球科學學院,1022,76.63589285714285,80.639375,74.57409090909091,76.38588235294117,78.87214285714286
2,地球科學學院,1031,76.06464285714286,77.43625,74.74454545454545,74.09617647058823,76.43928571428572
3,地球科學學院,1032,78.43124999999999,77.67,76.78363636363636,76.92205882352941,78.55499999999999
4,地球科學學院,1041,78.93642857142856,78.291875,77.35909090909091,78.11588235294118,79.37071428571429
5,地球科學學院,1042,80.07910714285715,79.56875,78.8990909090909,78.83323529411764,78.76857142857143
6,地球科學學院,1051,83.44232142857143,84.23875,81.15772727272727,80.36117647058825,80.235
7,地球科學學院,1052,81.31839285714285,80.286875,80.87681818181818,78.43264705882353,81.04928571428572
8,客家學院,1021,81.21705882352941,83.92666666666666,81.1,88.33,67.28999999999999
9,客家學院,1022,82.30470588235295,85.56166666666667,84.268,86.82,65.875
10,客家學院,1031,84.8594117647059,87.355,84.858,92.62,82.875
11,客家學院,1032,81.81882352941177,83.44833333333334,82.116,85.58,81.22
12,客家學院,1041,83.42294117647059,83.89999999999999,83.714,79.4,84.14
13,客家學院,1042,83.34176470588235,84.54833333333333,84.326,83.95,83.41
14,客家學院,1051,85.57529411764706,87.68333333333334,88.50399999999999,89.6,80.81
15,客家學院,1052,85.31529411764706,88.57166666666667,86.774,90.25,84.515
16,工學院,1021,74.1661111111111,76.88566037735849,75.7277922077922,75.33015384615385,78.64142857142858
17,工學院,1022,74.06866666666667,74.61283018867924,72.90025974025974,74.46307692307693,74.91785714285713
18,工學院,1031,70.98377777777777,70.59132075471699,69.50246753246753,70.97815384615384,72.62714285714286
19,工學院,1032,72.00399999999999,76.10811320754718,72.84454545454545,74.34446153846154,72.67142857142856
20,工學院,1041,74.75200000000001,74.50490566037736,73.51675324675324,74.55969230769232,75.56071428571428
21,工學院,1042,75.30133333333333,76.78962264150944,75.20727272727272,75.85107692307692,75.99071428571428
22,工學院,1051,78.00644444444444,78.80415094339622,76.91493506493507,77.53646153846154,77.99571428571429
23,工學院,1052,79.64244444444444,77.26622641509434,76.63493506493506,78.42230769230768,77.78571428571429
24,文學院,1021,81.75444444444445,83.58172413793103,82.29848484848485,80.92142857142858,82.06548387096775
25,文學院,1022,80.41060606060606,82.31275862068966,80.13484848484848,78.16657142857143,80.49
26,文學院,1031,80.46525252525252,83.18241379310345,78.39515151515151,79.13742857142857,79.71000000000001
27,文學院,1032,80.2440404040404,83.17620689655173,78.72848484848485,79.44628571428571,78.73645161290322
28,文學院,1041,82.19353535353535,82.4106896551724,81.54090909090908,80.58971428571428,80.55419354838709
29,文學院,1042,82.11636363636364,84.0348275862069,80.95454545454545,80.45142857142858,80.20806451612903
30,文學院,1051,83.87050505050506,85.7248275862069,82.94454545454546,83.23885714285714,82.75935483870968
31,文學院,1052,84.79686868686868,85.20551724137931,85.28939393939395,83.00885714285714,84.65483870967742
32,理學院,1021,74.24513513513513,74.45533333333333,73.75820512820513,74.94183673469388,75.41538461538461
33,理學院,1022,73.4190990990991,71.81133333333334,72.32871794871795,74.28979591836735,75.32846153846154
34,理學院,1031,71.22765765765766,68.90666666666667,69.36666666666667,71.42714285714285,69.29076923076923
35,理學院,1032,73.70648648648648,72.08533333333334,74.02333333333333,74.45163265306122,75.81153846153846
36,理學院,1041,75.33117117117118,73.65266666666666,73.58538461538461,76.20591836734694,72.24923076923076
37,理學院,1042,74.72468468468469,74.894,73.49692307692308,75.41816326530612,75.79538461538462
38,理學院,1051,78.08333333333333,80.93666666666667,77.68769230769232,78.09183673469387,77.82076923076923
39,理學院,1052,76.63486486486485,77.82533333333335,77.70846153846153,77.58632653061224,78.40230769230769
40,生醫理工學院,1021,71.82000000000001,73.19000000000001,75.0175,75.05384615384615,
41,生醫理工學院,1022,74.5525,77.16,76.93375,77.13000000000001,
42,生醫理工學院,1031,71.20583333333333,71.65799999999999,72.71375,71.47692307692309,
43,生醫理工學院,1032,65.62166666666667,74.86800000000001,72.95125,69.63000000000001,
44,生醫理工學院,1041,77.95833333333333,74.822,79.31375,77.61615384615385,
45,生醫理工學院,1042,81.51333333333334,77.224,80.65125,81.34307692307692,
46,生醫理工學院,1051,82.50583333333334,78.784,83.0675,82.8276923076923,
47,生醫理工學院,1052,80.39166666666667,83.76,82.99125000000001,82.14307692307692,
48,管理學院,1021,78.8516935483871,80.34547619047619,79.85305555555556,77.66886363636364,78.731
49,管理學院,1022,75.56991935483872,77.07452380952381,77.03708333333333,74.48829545454545,76.19800000000001
50,管理學院,1031,74.23129032258065,74.95571428571428,74.64013888888888,72.30238636363636,73.42775
51,管理學院,1032,76.00669354838709,77.22380952380952,77.68347222222222,76.04852272727273,75.23225
52,管理學院,1041,77.5775,79.74214285714285,79.88541666666667,77.93840909090909,77.24075
53,管理學院,1042,79.7750806451613,82.30833333333332,82.15569444444445,80.46875,78.39425
54,管理學院,1051,81.39032258064516,85.06666666666668,82.61041666666667,83.22170454545454,82.14450000000001
55,管理學院,1052,79.54459677419355,82.78404761904761,80.88930555555555,81.01977272727272,79.10549999999999
56,資訊電機學院,1021,75.13343137254901,77.29166666666667,76.37785714285714,75.42285714285715,77.95148148148148
57,資訊電機學院,1022,74.1622549019608,76.95041666666667,75.07053571428571,75.04489795918367,76.43555555555557
58,資訊電機學院,1031,73.0756862745098,75.09541666666667,74.86089285714286,74.01897959183673,74.87592592592593
59,資訊電機學院,1032,76.74607843137255,77.47458333333334,78.06107142857142,77.26408163265306,75.75185185185185
60,資訊電機學院,1041,80.28421568627451,79.68666666666667,80.36446428571428,79.74448979591837,78.4762962962963
