,s_id,semester,average,class_pr,dept_pr,學院,科系,參加社團,系學會社團,學術型社團,康樂性社團,聯誼性社團,服務性社團,club_id,assistant_manager_flag,manager_flag
0,003a6c88bac9d938652cd833b852efdb,1021,75.52,30.0,30.0,地球科學學院,地球科學學系,Y,N,N,N,Y,N,C002,N,N
1,003a6c88bac9d938652cd833b852efdb,1022,74.4,48.0,48.0,地球科學學院,地球科學學系,Y,N,N,N,Y,N,C002,N,N
2,003a6c88bac9d938652cd833b852efdb,1031,74.39,46.0,46.0,地球科學學院,地球科學學系,Y,N,N,N,Y,N,C002,N,N
3,003a6c88bac9d938652cd833b852efdb,1032,85.5,78.0,78.0,地球科學學院,地球科學學系,Y,N,N,N,Y,N,C002,N,N
4,003a6c88bac9d938652cd833b852efdb,1041,82.5,67.0,67.0,地球科學學院,地球科學學系,Y,N,N,N,Y,N,C002,N,N
5,003a6c88bac9d938652cd833b852efdb,1042,82.5,61.0,61.0,地球科學學院,地球科學學系,Y,N,N,N,Y,N,C002,N,N
6,003a6c88bac9d938652cd833b852efdb,1051,60.0,9.0,9.0,地球科學學院,地球科學學系,Y,N,N,N,Y,N,C002,N,N
7,003a6c88bac9d938652cd833b852efdb,1052,73.75,29.0,29.0,地球科學學院,地球科學學系,Y,N,N,N,Y,N,C002,N,N
8,0059c22f6d407457c97d6db93b4d1983,1021,88.63,91.0,92.0,管理學院,企業管理學系,Y,Y,N,N,N,N,A014,N,N
9,0059c22f6d407457c97d6db93b4d1983,1022,82.74,70.0,68.0,管理學院,企業管理學系,Y,Y,N,N,N,N,A014,N,N
10,0059c22f6d407457c97d6db93b4d1983,1031,86.22,87.0,90.0,管理學院,企業管理學系,Y,Y,N,N,N,N,A014,N,N
11,0059c22f6d407457c97d6db93b4d1983,1032,81.46,63.0,59.0,管理學院,企業管理學系,Y,Y,N,N,N,N,A014,N,N
12,0059c22f6d407457c97d6db93b4d1983,1041,84.74,60.0,58.0,管理學院,企業管理學系,Y,Y,N,N,N,N,A014,N,N
13,0059c22f6d407457c97d6db93b4d1983,1042,81.17,33.0,36.0,管理學院,企業管理學系,Y,Y,N,N,N,N,A014,N,N
14,0059c22f6d407457c97d6db93b4d1983,1051,80.0,26.0,23.0,管理學院,企業管理學系,Y,Y,N,N,N,N,A014,N,N
15,0059c22f6d407457c97d6db93b4d1983,1052,86.5,54.0,50.0,管理學院,企業管理學系,Y,Y,N,N,N,N,A014,N,N
16,0081fb5a3bd9a7ca0d5b7b5d469269ec,1021,78.96,63.0,65.0,管理學院,資訊管理學系,N,N,N,N,N,N,,,
17,0081fb5a3bd9a7ca0d5b7b5d469269ec,1022,71.61,35.0,38.0,管理學院,資訊管理學系,N,N,N,N,N,N,,,
18,0081fb5a3bd9a7ca0d5b7b5d469269ec,1031,74.0,54.0,59.0,管理學院,資訊管理學系,N,N,N,N,N,N,,,
19,0081fb5a3bd9a7ca0d5b7b5d469269ec,1032,74.61,38.0,40.0,管理學院,資訊管理學系,N,N,N,N,N,N,,,
20,0081fb5a3bd9a7ca0d5b7b5d469269ec,1041,69.83,10.0,16.0,管理學院,資訊管理學系,N,N,N,N,N,N,,,
21,0081fb5a3bd9a7ca0d5b7b5d469269ec,1042,80.86,46.0,47.0,管理學院,資訊管理學系,N,N,N,N,N,N,,,
22,0081fb5a3bd9a7ca0d5b7b5d469269ec,1051,84.0,52.0,48.0,管理學院,資訊管理學系,N,N,N,N,N,N,,,
23,0081fb5a3bd9a7ca0d5b7b5d469269ec,1052,89.33,89.0,89.0,管理學院,資訊管理學系,N,N,N,N,N,N,,,
24,00bbd02f97c3033acf6490355d514e0b,1021,82.08,80.0,78.0,管理學院,資訊管理學系,Y,Y,Y,N,N,N,E004,N,N
25,00bbd02f97c3033acf6490355d514e0b,1022,77.0,61.0,63.0,管理學院,資訊管理學系,Y,Y,Y,N,N,N,E004,N,N
26,00bbd02f97c3033acf6490355d514e0b,1031,76.23,72.0,72.0,管理學院,資訊管理學系,Y,Y,Y,N,N,N,E004,N,N
27,00bbd02f97c3033acf6490355d514e0b,1032,83.14,76.0,80.0,管理學院,資訊管理學系,Y,Y,Y,N,N,N,E004,N,N
28,00bbd02f97c3033acf6490355d514e0b,1041,86.0,76.0,86.0,管理學院,資訊管理學系,Y,Y,Y,N,N,N,E004,N,N
