艦娘,艦種,數量,S勝,A勝,B勝,提督等級,掉落率
黑潮,驅逐艦,1,0,0,1,"111 ~ 111",0.001%
大潮,驅逐艦,1,0,0,1,"106 ~ 106",0.001%
三日月,驅逐艦,1,0,0,1,"111 ~ 111",0.001%
皋月,驅逐艦,1,0,0,1,"100 ~ 100",0.001%
時雨,驅逐艦,2,0,0,2,"110 ~ 112",0.001%
菊月,驅逐艦,2,0,0,2,"110 ~ 110",0.001%
子日,驅逐艦,2,0,0,2,"108 ~ 114",0.001%
潮,驅逐艦,2,0,0,2,"104 ~ 120",0.001%
文月,驅逐艦,2,0,0,2,"106 ~ 120",0.001%
滿潮,驅逐艦,2,0,0,2,"101 ~ 119",0.001%
初霜,驅逐艦,2,0,0,2,"99 ~ 103",0.001%
望月,驅逐艦,2,0,0,2,"104 ~ 120",0.001%
村雨,驅逐艦,2,0,0,2,"120 ~ 120",0.001%
漣,驅逐艦,2,0,0,2,"105 ~ 117",0.001%
朧,驅逐艦,3,0,0,3,"103 ~ 112",0.002%
霞,驅逐艦,3,0,0,3,"102 ~ 120",0.002%
電,驅逐艦,3,0,0,3,"99 ~ 109",0.002%
夕立,驅逐艦,3,0,0,3,"106 ~ 108",0.002%
五月雨,驅逐艦,3,0,0,3,"110 ~ 117",0.002%
霰,驅逐艦,3,0,0,3,"107 ~ 119",0.002%
響,驅逐艦,4,0,0,4,"102 ~ 108",0.003%
荒潮,驅逐艦,751,651,99,1,"99 ~ 120",0.526%
陽炎,驅逐艦,849,0,846,3,"95 ~ 120",0.595%
瑞鳳,輕空母,856,856,0,0,"101 ~ 120",0.6%
初雪,驅逐艦,863,0,861,2,"86 ~ 120",0.605%
白雪,驅逐艦,866,0,864,2,"92 ~ 120",0.607%
名取,輕巡洋艦,885,0,884,1,"90 ~ 120",0.62%
磯波,驅逐艦,891,0,889,2,"79 ~ 120",0.624%
五十鈴,輕巡洋艦,892,0,889,3,"92 ~ 120",0.625%
朝潮,驅逐艦,902,0,901,1,"78 ~ 120",0.632%
曉,驅逐艦,907,1,905,1,"79 ~ 120",0.636%
多摩,輕巡洋艦,912,0,910,2,"85 ~ 120",0.639%
神通,輕巡洋艦,912,0,912,0,"91 ~ 120",0.639%
如月,驅逐艦,912,0,911,1,"84 ~ 120",0.639%
木曾,輕巡洋艦,916,0,915,1,"95 ~ 120",0.642%
敷波,驅逐艦,917,0,916,1,"94 ~ 120",0.643%
涼風,驅逐艦,920,0,919,1,"86 ~ 120",0.645%
深雪,驅逐艦,922,0,918,4,"86 ~ 120",0.646%
叢雲,驅逐艦,922,0,920,2,"85 ~ 120",0.646%
由良,輕巡洋艦,923,0,922,1,"89 ~ 120",0.647%
初春,驅逐艦,942,0,940,2,"85 ~ 120",0.66%
白露,驅逐艦,972,0,972,0,"97 ~ 120",0.681%
加賀,空母,1333,935,398,0,"88 ~ 120",0.934%
Gotland,輕巡洋艦,1577,1011,566,0,"96 ~ 120",1.105%
蒼龍,空母,1592,1438,154,0,"99 ~ 120",1.116%
伊勢,戰艦,1886,1886,0,0,"94 ~ 120",1.322%
陸奧,戰艦,1912,1912,0,0,"99 ~ 120",1.34%
矢矧,輕巡洋艦,1918,1918,0,0,"97 ~ 120",1.344%
金剛,戰艦,1928,1928,0,0,"99 ~ 120",1.351%
比叡,戰艦,1928,1928,0,0,"87 ~ 120",1.351%
初風,驅逐艦,1931,1931,0,0,"92 ~ 120",1.353%
酒韻,輕巡洋艦,1938,1938,0,0,"97 ~ 120",1.358%
日向,戰艦,1951,1951,0,0,"99 ~ 120",1.367%
霧島,戰艦,1952,1952,0,0,"96 ~ 120",1.368%
長門,戰艦,1980,1980,0,0,"98 ~ 120",1.388%
榛名,戰艦,1997,1997,0,0,"97 ~ 120",1.399%
島風,驅逐艦,2016,2016,0,0,"85 ~ 120",1.413%
大淀,輕巡洋艦,2028,2028,0,0,"90 ~ 120",1.421%
那珂,輕巡洋艦,2186,1070,1114,2,"85 ~ 120",1.532%
馬路由,潛水艦,2273,2003,270,0,"98 ~ 120",1.593%
妙高,重巡洋艦,2729,1882,847,0,"87 ~ 120",1.912%
衣笠,重巡洋艦,2761,1895,866,0,"85 ~ 120",1.935%
綾波,驅逐艦,2767,1893,874,0,"86 ~ 120",1.939%
摩耶,重巡洋艦,2778,1914,864,0,"85 ~ 120",1.947%
長波,驅逐艦,2790,1937,853,0,"89 ~ 120",1.955%
筑摩,重巡洋艦,2791,1899,892,0,"96 ~ 120",1.956%
愛宕,重巡洋艦,2803,1884,919,0,"87 ~ 120",1.964%
鈴谷,重巡洋艦,2807,1922,885,0,"87 ~ 120",1.967%
