S_ID,學院,科系,性別,國籍,入學方式,參加社團,系學會社團,學術型社團,康樂性社團,聯誼性社團,服務性社團,工讀學期,住宿學期數,1/2不及格次數,獎勵數量,懲處數量,畢業成績排名區間,離校學年,離校學期,工作狀況,工作單位,工作職業類型,平均月收
00063e3c07ae571fc37e0ac5dd431963,資訊電機學院,電機工程學系,男,中華民國,學士班申請入學,N,N,N,N,N,N,0,6,0,0,0,5.0,102,1022,,,,
00088cb1f8e9054360937598890d7e7b,生醫理工學院,生命科學系,男,中華民國,學士班(指考分發/聯考),N,N,N,N,N,N,0,9,0,0,0,8.0,103,1032,部分工時,目前非就業中,,
000c80387f0ae563dcbcaf5362674122,管理學院,資訊管理學系,女,中華民國,學士班(指考分發/聯考),N,N,N,N,N,N,0,5,0,0,1,4.0,104,1042,部分工時,目前非就業中,,
0010cae712d0ed0ac287c7a93b070de4,管理學院,管理學院高階主管企管碩士班,男,中華民國,碩士在職專班,N,N,N,N,N,N,0,0,0,0,0,1.0,102,1022,,,,
00132123064709505b6a7cf8cae5c178,資訊電機學院,電機工程學系,男,中華民國,繁星推薦,Y,Y,N,Y,N,N,3,11,0,0,0,5.0,106,1062,,,,
0019a683730feb8143c3b9466a96e311,工學院,機械工程學系,男,中華民國,學士班申請入學,N,N,N,N,N,N,0,2,0,0,0,6.0,104,1042,部分工時,目前非就業中,,
001acd992720fcb1715879df15f0e152,理學院,化學學系碩士班,女,印尼,碩士班雙聯學制,N,N,N,N,N,N,2,1,0,0,0,3.0,104,1042,,,,
001ffe476045785cbf4212bfbf8b7f9e,資訊電機學院,電機工程學系碩士班,男,中華民國,碩士班招生(一般生),N,N,N,N,N,N,2,0,0,0,0,9.0,106,1061,,,,
002a646b8b1380c005c78f51408a8a8f,資訊電機學院,資訊工程學系,女,中華民國,學士班(指考分發/聯考),N,N,N,N,N,N,0,6,0,0,0,6.0,102,1022,部分工時,目前非就業中,,
002d1b79a631e3a189f4176d46ef0368,資訊電機學院,資訊工程學系碩士班,男,中華民國,碩士班招生(一般生),N,N,N,N,N,N,8,1,0,0,0,7.0,106,1062,,,,
002d87462ce78f1f214d9cc08ba18eff,理學院,數學系,男,中華民國,學士班(指考分發/聯考),N,N,N,N,N,N,0,6,0,0,0,7.0,103,1032,,,,
0036131a6798d9c434911fe83cdc7800,文學院,英美語文學系,女,中華民國,學士班(指考分發/聯考),N,N,N,N,N,N,0,6,0,0,0,9.0,105,1052,部分工時,目前非就業中,,
00366dda250aa4e551edaedbe81ae125,理學院,數學系碩士班,女,印尼,碩士外籍生申請,N,N,N,N,N,N,2,5,0,0,0,8.0,105,1051,,,,
003805e823a6f681a7c9370bc6a9a557,工學院,機械工程學系,男,中華民國,學士班申請入學,N,N,N,N,N,N,5,5,0,0,1,7.0,104,1042,,,,
003a6c88bac9d938652cd833b852efdb,地球科學學院,地球科學學系,男,中華民國,學士班(指考分發/聯考),Y,N,N,N,Y,N,4,8,0,0,1,6.0,105,1052,,,,
003b5bed587e0400b76d0e4d2f2ab5ed,工學院,機械工程學系碩士班,男,中華民國,碩士班招生(一般生),N,N,N,N,N,N,0,4,0,0,0,2.0,104,1041,,,,
004a25529109380d78eb30c30f75d90c,地球科學學院,大氣科學學系大氣物理碩士班,男,中華民國,碩士班招生(一般生),N,N,N,N,N,N,2,0,0,0,0,7.0,104,1042,全職工作,學校（包括公立及私立大學、高中、高職、國中小…等）,科學、技術、工程、數學類,34k~37k
00500ae040547e9ff78566a7547e027c,資訊電機學院,資訊工程學系,女,中華民國,學士班(指考分發/聯考),N,N,N,N,N,N,0,6,0,0,3,2.0,103,1032,部分工時,目前非就業中,,
0050a0616d88e9e0218f87319581717f,文學院,中國文學系,女,中華民國,學士班(指考分發/聯考),Y,Y,Y,Y,N,N,1,10,0,0,0,7.0,106,1062,,,,
0051fe715e5d79b4b9f65c55afe6f624,資訊電機學院,通訊工程學系碩士班,男,中華民國,碩士班甄試(一般生),N,N,N,N,N,N,0,0,0,0,0,10.0,102,1022,全職工作,企業（包括民營企業或國營企業…等）,資訊科技類,40k~45k
005236ed42758dd2acbed94db9166fee,資訊電機學院,電機工程學系碩士班,男,中華民國,碩士班招生(一般生),N,N,N,N,N,N,0,0,0,0,0,9.0,101,1012,部分工時,目前非就業中,,
0052fd24eeaa29dd2244bf3f9ee8d419,工學院,化學工程與材料工程學系,男,中華民國,學士班申請入學,N,N,N,N,N,N,5,8,0,0,0,9.0,103,1032,,,,
0054c3ffc3557a184966286d8fc600b7,資訊電機學院,資訊工程學系,男,中華民國,學士班推薦甄試生(一般）,N,N,N,N,N,N,1,9,0,0,0,4.0,101,1012,部分工時,目前非就業中,,
0057ee1bcb8e90cb99b246e11432ee9d,理學院,生命科學系碩士班,女,中華民國,碩士班甄試(一般生),N,N,N,N,N,N,0,0,0,0,0,7.0,102,1021,全職工作,企業（包括民營企業或國營企業…等）,醫療保健類,34k~37k
0057fda1b57055f918dba00ecc6bf92c,理學院,物理學系,男,中華民國,學士班(指考分發/聯考),N,N,N,N,N,N,0,8,1,0,0,10.0,104,1042,,,,
0059c22f6d407457c97d6db93b4d1983,管理學院,企業管理學系,男,中華民國,學士班(指考分發/聯考),Y,Y,N,N,N,N,0,9,0,0,0,4.0,105,1052,全職工作,企業（包括民營企業或國營企業…等）,金融財務類,46k~49k
0061ab8273813d12ebcbff98975df543,工學院,土木工程學系碩士班,男,中華民國,碩士班招生(一般生),N,N,N,N,N,N,7,0,0,0,0,2.0,105,1052,部分工時,目前非就業中,,
0065f9ac3e82a373e5cbdd4a3503681f,管理學院,經濟學系,女,中華民國,學士班(指考分發/聯考),N,N,N,N,N,N,0,2,1,1,3,10.0,101,1012,全職工作,企業（包括民營企業或國營企業…等）,金融財務類,40k~45k
0067a570015b8e20507e97bc1338fe76,工學院,機械工程學系,男,中華民國,學士班申請入學,N,N,N,N,N,N,0,9,1,0,0,5.0,104,1042,全職工作,企業（包括民營企業或國營企業…等）,製造類,40k~43k
006aee965b27a2eb7278d4da3de34ff8,工學院,機械工程學系碩士班,男,中華民國,碩士班招生(一般生),N,N,N,N,N,N,7,0,0,0,0,1.0,106,1062,,,,
006ccba69e185891f9e861c2fad28dd3,工學院,化學工程與材料工程學系,女,中華民國,學士班申請入學,N,N,N,N,N,N,0,9,0,0,0,1.0,103,1032,,,,
006dc67451d5d14b901bf04a08cb2419,管理學院,產業經濟研究所碩士在職專班,男,中華民國,碩士在職專班,N,N,N,N,N,N,0,0,0,0,0,4.0,102,1022,全職工作,企業（包括民營企業或國營企業…等）,金融財務類,55k~60k
006ecfaae0948c9c4956b45fa712685d,管理學院,財務金融學系碩士在職專班,男,中華民國,碩士在職專班,N,N,N,N,N,N,0,0,0,0,0,1.0,106,1062,,,,
0070f7890cf5c5f85eb4b15b04556f6b,工學院,環境工程研究所博士班,男,中華民國,博士班招生(一般生),N,N,N,N,N,N,7,0,0,0,0,,107,1071,,,,
0075f8ce7f5c3baf4f2542cca9c381c6,工學院,機械工程學系,男,中華民國,學士班(指考分發/聯考),N,N,N,N,N,N,0,6,1,0,0,8.0,103,1032,部分工時,目前非就業中,,
007b41d175827086a5909a18e166f9f4,資訊電機學院,通訊工程學系,男,澳門,學士班僑生(海招會-聯合分發),N,N,N,N,N,N,0,4,0,0,0,8.0,102,1022,,,,
007cf4d645d61cee4bd393dc1e433db5,資訊電機學院,電機工程學系碩士班,男,中華民國,碩士班甄試(一般生),N,N,N,N,N,N,1,0,0,0,0,3.0,104,1042,,,,
0081fb5a3bd9a7ca0d5b7b5d469269ec,管理學院,資訊管理學系,男,中華民國,學士班申請入學,N,N,N,N,N,N,0,4,0,0,0,6.0,106,1062,,,,
0085d06862e5afff810d265bdccd759e,管理學院,會計研究所碩士班,女,中華民國,碩士班招生(一般生),N,N,N,N,N,N,5,1,0,0,0,7.0,106,1062,,,,
008a2fcc00f43dad13da374a01be2477,工學院,機械工程學系,男,中華民國,學士班(指考分發/聯考),N,N,N,N,N,N,0,8,0,0,0,6.0,106,1062,,,,
008b985776c91e5d96c1887c015b3e1a,管理學院,企業管理學系碩士班,女,中華民國,碩士班招生(一般生),Y,N,N,N,N,Y,3,0,0,0,0,5.0,105,1052,全職工作,企業（包括民營企業或國營企業…等）,企業經營管理類,70k~75k
008c69d812e0d39a9ec3b93a49038cb6,地球科學學院,應用地質研究所博士班,男,中華民國,博士班招生(一般生),N,N,N,N,N,N,4,9,0,0,0,10.0,106,1062,,,,
008e153a64515f85f688f7712e32d70d,資訊電機學院,資訊工程學系,男,中華民國,學士班申請入學,N,N,N,N,N,N,0,6,1,0,0,10.0,104,1042,,,,
00935a821c0bce09091b77a049d30b7a,理學院,數學系碩士班,男,中華民國,碩士班招生(一般生),N,N,N,N,N,N,0,3,0,0,0,10.0,102,1022,,,,
0099727f9e0ec262fe4aaf0fad5dfc82,管理學院,產業經濟研究所碩士在職專班,男,中華民國,碩士在職專班,N,N,N,N,N,N,0,0,0,0,0,2.0,102,1021,全職工作,企業（包括民營企業或國營企業…等）,製造類,70k以上
009dd1e4c548c4fbc54a419d59723d26,管理學院,企業管理學系碩士班,女,中華民國,碩士班招生(一般生),N,N,N,N,N,N,2,3,0,0,0,1.0,104,1042,,,,
009f3ae36998229a712d3353345a9de9,客家學院,客家語文暨社會科學學系客家研究碩士在職專班,女,中華民國,碩士在職專班,N,N,N,N,N,N,0,0,0,0,0,1.0,102,1022,,,,
009f436867b84cf12fb2d4421799fc0b,理學院,數學系碩士班,女,印尼,碩士外籍生申請,N,N,N,N,N,N,4,4,0,0,0,5.0,105,1052,,,,
00a4dfca85cfa17e588c1688aa2981dc,資訊電機學院,資訊工程學系,男,中華民國,學士班(指考分發/聯考),N,N,N,N,N,N,8,8,0,1,1,6.0,103,1032,,,,
00a8584fc86856084d7c80c43e189a99,管理學院,資訊管理學系,女,中華民國,學士班申請入學,N,N,N,N,N,N,0,5,0,0,0,4.0,101,1012,部分工時,目前非就業中,,
00b2e56955c6f97aa2270e55d81ecea5,理學院,天文研究所博士班,男,中華民國,博士班招生(一般生),N,N,N,N,N,N,2,0,0,0,0,10.0,106,1061,,,,
00b3d9193b9a036bf261ea011133226b,管理學院,經濟學系,男,中華民國,學士班(指考分發/聯考),N,N,N,N,N,N,0,2,0,0,0,3.0,101,1012,全職工作,企業（包括民營企業或國營企業…等）,金融財務類,45k~50k
00b7302693084386481b888dc75c20eb,地球科學學院,地球科學學系,男,中華民國,學士班轉學(大二),N,N,N,N,N,N,2,6,0,0,0,,102,1022,部分工時,目前非就業中,,
00b83020448d4a770e6ff7a81675e12a,工學院,機械工程學系光機電工程碩士班,男,中華民國,碩士班招生(一般生),N,N,N,N,N,N,0,3,0,0,0,3.0,102,1022,部分工時,目前非就業中,,
00b8cc0df8a5d4783d9dea33e0191bfc,管理學院,會計研究所碩士班,男,中華民國,碩士班招生(一般生),N,N,N,N,N,N,5,1,0,0,0,7.0,105,1052,,,,
00bbd02f97c3033acf6490355d514e0b,管理學院,資訊管理學系,男,中華民國,學士班(指考分發/聯考),Y,Y,Y,N,N,N,3,11,0,0,0,3.0,105,1052,部分工時,目前非就業中,,
00c19891135827641e510d80108ee454,資訊電機學院,資訊工程學系,女,中華民國,學士班(指考分發/聯考),N,N,N,N,N,N,0,6,0,1,4,7.0,103,1032,,,,
00c26aca553c69d039e86c1665e41803,理學院,光電科學與工程學系碩士班,男,中華民國,碩士班甄試(一般生),N,N,N,N,N,N,0,0,0,0,0,8.0,103,1032,,,,
00c9b2ed94dc153f9320da8d2632d610,管理學院,資訊管理學系碩士班,男,中華民國,碩士班招生(一般生),N,N,N,N,N,N,0,3,0,0,0,10.0,102,1022,,,,
00ceea1d31020a8e5c163cbb19769a49,資訊電機學院,資訊工程學系,男,中華民國,學士班(指考分發/聯考),N,N,N,N,N,N,3,6,0,0,0,3.0,105,1052,部分工時,目前非就業中,,
00d216072e7cc38d0197056ba98eb0fc,管理學院,企業管理學系,男,中華民國,學士班申請入學,N,N,N,N,N,N,0,6,0,0,0,7.0,101,1012,,,,
00d40c77e663ed16b49ab4ecba6b0719,工學院,化學工程與材料工程學系,女,中華民國,學士班申請入學,Y,Y,N,Y,N,N,1,9,0,0,0,9.0,106,1062,,,,
00d4990fc6b7007dad76b09bc9897aca,管理學院,工業管理研究所碩士在職專班,男,中華民國,碩士在職專班,N,N,N,N,N,N,0,0,0,0,0,1.0,105,1052,全職工作,企業（包括民營企業或國營企業…等）,製造類,85k~90k
00d6f2dbdec8f9a4d68dc6fde6e10c40,工學院,機械工程學系,男,中華民國,學士班(指考分發/聯考),N,N,N,N,N,N,0,4,1,0,0,9.0,103,1032,部分工時,目前非就業中,,
00d6ff62b4f5dfabec9ed1c7c6f4e599,管理學院,資訊管理學系,男,中華民國,學士班申請入學,N,N,N,N,N,N,0,2,0,0,3,10.0,102,1022,,,,
00d85ab785364df161f907cccebdf19c,理學院,化學學系碩士班,男,中華民國,台聯大碩士聯招(一般生),N,N,N,N,N,N,8,0,0,0,0,7.0,106,1062,,,,
00d8a6fd866faea6f45c1246b3542fc3,工學院,機械工程學系,男,中華民國,學士班(指考分發/聯考),N,N,N,N,N,N,0,8,1,0,0,10.0,106,1062,,,,
00dce4a6afe5a5482b3e8613a1d3df3a,地球科學學院,大氣科學學系,男,中華民國,學士班(指考分發/聯考),Y,N,N,Y,Y,N,0,9,0,0,0,5.0,106,1062,,,,
00dd357bce89fcf98d1f69d25c89427e,工學院,土木工程學系碩士在職專班,男,中華民國,碩士在職專班,N,N,N,N,N,N,0,0,0,0,0,3.0,104,1042,全職工作,企業（包括民營企業或國營企業…等）,建築營造類,55k~60k
00de84caa7e83a4d626a2779f0bec977,資訊電機學院,電機工程學系碩士班,男,中華民國,碩士班甄試(一般生),N,N,N,N,N,N,4,0,0,0,0,3.0,105,1052,部分工時,目前非就業中,,
00df3ce2fec11edf4b8143914413c010,資訊電機學院,電機工程學系碩士班,男,中華民國,碩士班甄試(一般生),N,N,N,N,N,N,5,3,0,0,0,8.0,105,1052,部分工時,目前非就業中,,
00e1e0184b849147e93deffcb1982c70,工學院,化學工程與材料工程學系,男,中華民國,學士班(指考分發/聯考),Y,Y,N,N,N,N,4,5,0,1,0,10.0,105,1052,部分工時,目前非就業中,,
00e3685abef26a2677014c666c18b6c4,資訊電機學院,資訊工程學系,男,中華民國,學士班(指考分發/聯考),N,N,N,N,N,N,0,6,0,1,0,7.0,104,1042,部分工時,目前非就業中,,
00e633ce4d3f802d4937cc76610e40bd,資訊電機學院,電機工程學系碩士班,男,中華民國,碩士班甄試(一般生),N,N,N,N,N,N,0,0,0,0,0,7.0,102,1022,全職工作,企業（包括民營企業或國營企業…等）,科學、技術、工程、數學類,40k~45k
00ee163aa93ddad3d3430f904df571d1,管理學院,資訊管理學系,女,中華民國,學士班申請入學,Y,Y,N,N,N,N,6,11,0,0,0,1.0,106,1062,,,,
00efdba07cbe047119c5e9204bfe8370,資訊電機學院,資訊工程學系,男,中華民國,學士班(指考分發/聯考),N,N,N,N,N,N,0,6,0,0,0,9.0,104,1042,部分工時,目前非就業中,,
00f04e741b817a5e3aceca894bac6179,管理學院,經濟學系,男,中華民國,學士班(指考分發/聯考),N,N,N,N,N,N,0,6,0,0,0,9.0,102,1022,部分工時,目前非就業中,,
00f1dd37d69665b046fc99876ee8d74e,管理學院,財務金融學系博士班,男,中華民國,博士班招生(一般生),N,N,N,N,N,N,0,7,0,0,0,5.0,103,1032,全職工作,學校（包括公立及私立大學、高中、高職、國中小…等）,金融財務類,55k~60k
00f940805d05b81481ba0d523cb304b3,管理學院,管理學院高階主管企管碩士班,男,中華民國,碩士在職專班,N,N,N,N,N,N,0,0,0,0,0,9.0,104,1042,,,,
00fa34750ef9fb6329928dbb6a4e2d87,資訊電機學院,資訊工程學系碩士班,男,中華民國,碩士班招生(一般生),N,N,N,N,N,N,0,1,0,0,0,4.0,102,1022,,,,
0101f891ac1df25a09ca1d4a2ce4e1eb,工學院,機械工程學系,男,中華民國,繁星推薦,Y,N,N,N,N,Y,2,9,0,0,0,1.0,106,1062,,,,
010249345a7c10db0ad85da768da3816,工學院,能源工程研究所碩士班,男,中華民國,碩士班甄試(一般生),Y,N,N,N,N,Y,0,4,0,0,0,9.0,104,1041,全職工作,企業（包括民營企業或國營企業…等）,製造類,40k~43k
01047ae0e7cc32beac8caf9ea303c36f,管理學院,企業管理學系,男,中華民國,學士班(指考分發/聯考),N,N,N,N,N,N,0,9,0,0,0,7.0,103,1032,,,,
01066023cc81d21ec1f149307ae0ed3a,工學院,化學工程與材料工程學系碩士班,男,中華民國,碩士班招生(一般生),N,N,N,N,N,N,6,0,0,0,0,3.0,105,1052,,,,
0115316c930c47554031ab317d85175f,理學院,數學系,男,中華民國,學士班(指考分發/聯考),Y,N,N,N,N,Y,0,3,1,0,0,10.0,106,1062,,,,
01163a077b33550c03f91f656422f6dc,工學院,能源工程研究所碩士班,男,中華民國,碩士班招生(一般生),N,N,N,N,N,N,3,5,0,0,0,,107,1071,,,,
01171be77a5fbd9975f00e0ea3a9b438,資訊電機學院,資訊工程學系碩士班,男,中華民國,碩士班甄試(一般生),N,N,N,N,N,N,0,0,0,0,0,2.0,103,1032,,,,
011d08ce1ecb17c0d6e15feca47dec41,工學院,機械工程學系碩士班,男,中華民國,碩士班甄試(一般生),N,N,N,N,N,N,0,0,0,0,0,7.0,102,1022,,,,
011f043880fa56e495d88a4683d1b9f1,管理學院,管理學院高階主管企管碩士班,男,中華民國,碩士在職專班,N,N,N,N,N,N,0,0,0,0,0,1.0,102,1022,,,,
011fe6269ce1a6a0a1c33901a57c1640,理學院,統計研究所碩士班,男,中華民國,碩士班甄試(一般生),N,N,N,N,N,N,4,0,0,0,0,9.0,105,1052,部分工時,目前非就業中,,
0120192cbd7048def3844ba3f63d44b1,資訊電機學院,通訊工程學系碩士班,男,中華民國,碩士班招生(一般生),N,N,N,N,N,N,4,0,0,0,0,3.0,105,1052,全職工作,企業（包括民營企業或國營企業…等）,資訊科技類,55k~60k
0123f53005c5d52f7459d1f8728680ce,工學院,化學工程與材料工程學系,男,中華民國,學士班申請入學,N,N,N,N,N,N,4,10,0,0,0,6.0,104,1042,部分工時,目前非就業中,,
01253c1b4284b27bf67f5f87d5c91900,資訊電機學院,資訊工程學系碩士班,男,中華民國,碩士班招生(一般生),N,N,N,N,N,N,0,0,0,0,0,9.0,101,1012,全職工作,企業（包括民營企業或國營企業…等）,資訊科技類,70k以上
012606610fd5f307050ad13f9ae4cd9a,地球科學學院,地球科學學系,男,中華民國,學士班繁星計畫,N,N,N,N,N,N,4,8,0,0,9,7.0,102,1022,部分工時,目前非就業中,,
01298e0607dabba113518d290e103152,工學院,機械工程學系碩士班,男,印尼,碩士班雙聯學制,N,N,N,N,N,N,0,3,0,0,0,10.0,101,1011,,,,
012b39e2a98c68ceb9ea49a4b581bf22,資訊電機學院,電機工程學系,男,中華民國,學士班(指考分發/聯考),N,N,N,N,N,N,2,8,0,0,1,6.0,104,1042,部分工時,目前非就業中,,
012ef60a1621616af4080678e47f958a,管理學院,企業管理學系,男,中華民國,學士班(指考分發/聯考),N,N,N,N,N,N,0,6,0,0,0,8.0,102,1022,,,,
0131e65e61bf87e8ce7f11b66ecc2f77,資訊電機學院,電機工程學系,女,中華民國,學士班申請入學,N,N,N,N,N,N,0,2,0,0,2,7.0,101,1012,部分工時,目前非就業中,,
01340f530e30464be3bb043db2753f04,地球科學學院,大氣科學學系大氣物理碩士班,男,中華民國,碩士班招生(一般生),N,N,N,N,N,N,0,0,0,0,0,8.0,102,1022,全職工作,企業（包括民營企業或國營企業…等）,科學、技術、工程、數學類,34k~37k
01371608179a152451280c9684c40ec9,工學院,化學工程與材料工程學系,女,中華民國,學士班(指考分發/聯考),N,N,N,N,N,N,0,8,0,0,0,2.0,102,1022,,,,
013a52ae20c9ce07244ddc7c93776c96,工學院,土木工程學系碩士班,男,中國,碩士班雙聯學制,N,N,N,N,N,N,0,0,0,0,0,3.0,106,1062,,,,
013e27635dc669adb1ca680f77278d2d,資訊電機學院,電機工程學系,男,中華民國,學士班申請入學,N,N,N,N,N,N,0,6,0,0,1,8.0,103,1032,部分工時,目前非就業中,,
0141b7ab47e3292e2f354552d29034a4,管理學院,資訊管理學系碩士班,男,中華民國,碩士班甄試(一般生),N,N,N,N,N,N,2,0,0,0,0,3.0,104,1042,全職工作,企業（包括民營企業或國營企業…等）,資訊科技類,49k~52k
